Vendor,Product,Headquarters,Founded,Employees,URL
Aperio Systems,Data Forgery Protection,Israel,2016,11-50,http://www.aperio-systems.com
Bayshore Networks,Bayshore Platform,USA,2012,11-50,http://bayshorenetworks.com
Cisco,ISA 3000,USA,1984,10k+,https://www.cisco.com/c/en/us/support/security/industrial-security-appliance-3000/model.html
Claroty,Claroty Platform,USA,2014,101-250,http://www.claroty.com
CyberX,CyberX Platform,Israel,2012,11-50,http://cyberx-labs.com
CyberBit,SCADAShield,Israel,2015,501-1k,http://www.cyberbit.com
Darktrace,Darktrace ICS,UK,2013,501-1k,http://www.darktrace.com
Dragos,Dragos Platform,USA,2016,11-50,http://www.dragos.com
GE Digital,OpShield,USA,2011,5k+,https://www.ge.com/digital/products/opshield
ics2,"OnGuard, Analyzer, Protector",Israel,2013,11-50,http://ics2.com/
Indegy,Indegy Platform,USA,2014,11-50,http://www.indegy.com
IronNet Cybersecuity,IronDefense,USA,2014,101-250,http://www.ironnetcyber.com
Mission Secure Inc (MSi),Secure Sentinel,USA,2014,11-50,http://www.missionsecure.com
NexDefense,Integrity,USA,2012,11-50,http://nexdefense.com
NextNine (Honeywell),ICS Shield,USA,1998,10k+,https://nextnine.com/
Nozomi Networks,SCADAguardian,Switzerland,2013,11-50,http://www.nozominetworks.com
PAS,Cyber Integrity,USA,1993,51-200,https://cyber.pas.com
ProtectWise,Grid,USA,2013,51-100,http://www.protectwise.com
Radiflow,Industrial IDS,Israel,2009,101-250,http://www.radiflow.com
Rhebo,Industrial Protector,Germany,2014,11-50,http://rhebo.com
SCADAfence,Continuous Network Monitor,Israel,2014,11-50,https://www.scadafence.com
Security Matters,Silent Defense,USA,2009,101-250,http://www.secmatters.com
Sentryo ,ICS CyberVision,France,2014,11-50,http://www.sentryo.net
Sierra Nevada,Binary Armor,USA,1963,1k-5k,http://www.sncorp.com
SIGA,SIGA Platform,Israel,2014,11-50,http://www.sigasec.com
Tofino Security (Belden),Xenon Security Appliance,USA,2006,5k-10k,https://tofinosecurity.com
Vectra,Cognito,USA,2010,51-200,https://vectra.ai
Veracity,Veracity Platform,USA,2014,1-10,https://veracity.io/
Verve Industrial,Security Center 3.0,USA,1994,11-50,http://verveindustrial.com
